GUID 72c3decd7b3343f6ac071c59113b38d4
Message_23_Reward_1_Value 1
Message_23_Reward_1_Modification Increment

//Friendly Hello Set 1 Response 1
Message_24_Pages 1
Message_24_Conditions 4
//Text Set 1
Message_24_Condition_0_Type Flag_Short
Message_24_Condition_0_ID 3002
Message_24_Condition_0_Value 1
Message_24_Condition_0_Logic Equal
Message_24_Condition_0_Allow_Unset
//Text Responses <=8
Message_24_Condition_1_Type Flag_Short
Message_24_Condition_1_ID 3004
Message_24_Condition_1_Value 8
Message_24_Condition_1_Logic Less_Than_Or_Equal_To
Message_24_Condition_1_Allow_Unset
//Friendly Faction
Message_24_Condition_2_Type Flag_Short
Message_24_Condition_2_ID 3000
Message_24_Condition_2_Value 1
Message_24_Condition_2_Logic Equal
Message_24_Condition_2_Allow_Unset
//Text Responses >=4
Message_24_Condition_3_Type Flag_Short
Message_24_Condition_3_ID 3004
Message_24_Condition_3_Value 4
Message_24_Condition_3_Logic Greater_Than_Or_Equal_To
Message_24_Condition_3_Allow_Unset
Message_24_Rewards 2
//Randomize Text Responses
Message_24_Reward_0_Type Flag_Short_Random
Message_24_Reward_0_ID 3002
Message_24_Reward_0_Min_Value 0
Message_24_Reward_0_Max_Value 2
Message_24_Reward_0_Modification Assign
//Increase Responses
Message_24_Reward_1_Type Flag_Short
Message_24_Reward_1_ID 3004
Message_24_Reward_1_Value 1
Message_24_Reward_1_Modification Increment

//Friendly Hello Set 1 Response 2
Message_25_Pages 1
Message_25_Conditions 4
//Text Set 2
Message_25_Condition_0_Type Flag_Short
Message_25_Condition_0_ID 3002
Message_25_Condition_0_Value 2
Message_25_Condition_0_Logic Equal
Message_25_Condition_0_Allow_Unset
//Text Responses <=8
Message_25_Condition_1_Type Flag_Short
Message_25_Condition_1_ID 3004
Message_25_Condition_1_Value 8
Message_25_Condition_1_Logic Less_Than_Or_Equal_To
Message_25_Condition_1_Allow_Unset
//Friendly Faction
Message_25_Condition_2_Type Flag_Short
Message_25_Condition_2_ID 3000
Message_25_Condition_2_Value 1
Message_25_Condition_2_Logic Equal
Message_25_Condition_2_Allow_Unset
//Text Responses >=4
Message_25_Condition_3_Type Flag_Short
Message_25_Condition_3_ID 3004
Message_25_Condition_3_Value 4
Message_25_Condition_3_Logic Greater_Than_Or_Equal_To
Message_25_Condition_3_Allow_Unset
Message_25_Rewards 2
//Randomize Text Responses
Message_25_Reward_0_Type Flag_Short_Random
Message_25_Reward_0_ID 3002
Message_25_Reward_0_Min_Value 0
Message_25_Reward_0_Max_Value 2
Message_25_Reward_0_Modification Assign
//Increase Responses
Message_25_Reward_1_Type Flag_Short
Message_25_Reward_1_ID 3004
Message_25_Reward_1_Value 1
Message_25_Reward_1_Modification Increment

//Friendly Hello Set 2 Response 0
Message_26_Pages 1
Message_26_Conditions 3
//Text Set 0
Message_26_Condition_0_Type Flag_Short
Message_26_Condition_0_ID 3002
Message_26_Condition_0_Value 0
Message_26_Condition_0_Logic Equal
Message_26_Condition_0_Allow_Unset
//Text Responses >= 9
Message_26_Condition_1_Type Flag_Short
Message_26_Condition_1_ID 3004
Message_26_Condition_1_Value 9
Message_26_Condition_1_Logic Greater_Than_Or_Equal_To
Message_26_Condition_1_Allow_Unset
//Friendly Faction
Message_26_Condition_2_Type Flag_Short
Message_26_Condition_2_ID 3000
Message_26_Condition_2_Value 1
Message_26_Condition_2_Logic Equal
Message_26_Condition_2_Allow_Unset
Message_26_Rewards 1
//Randomize Text Responses
Message_26_Reward_0_Type Flag_Short_Random
Message_26_Reward_0_ID 3002
Message_26_Reward_0_Min_Value 0
Message_26_Reward_0_Max_Value 2
Message_26_Reward_0_Modification Assign

//Friendly Hello Set 2 Response 1
Message_27_Pages 1
Message_27_Conditions 3
//Text Set 1
Message_27_Condition_0_Type Flag_Short
Message_27_Condition_0_ID 3002
Message_27_Condition_0_Value 1
Message_27_Condition_0_Logic Equal
Message_27_Condition_0_Allow_Unset
//Text Responses >=9
Message_27_Condition_1_Type Flag_Short
Message_27_Condition_1_ID 3004
Message_27_Condition_1_Value 9
Message_27_Condition_1_Logic Greater_Than_Or_Equal_To
Message_27_Condition_1_Allow_Unset
//Friendly Faction
Message_27_Condition_2_Type Flag_Short
Message_27_Condition_2_ID 3000
Message_27_Condition_2_Value 1
Message_27_Condition_2_Logic Equal
Message_27_Condition_2_Allow_Unset
Message_27_Rewards 1
//Randomize Text Responses
Message_27_Reward_0_Type Flag_Short_Random
Message_27_Reward_0_ID 3002
Message_27_Reward_0_Min_Value 0
Message_27_Reward_0_Max_Value 2
Message_27_Reward_0_Modification Assign

//Friendly Hello Set 2 Response 2
Message_28_Pages 1
Message_28_Conditions 3
//Text Set 2
Message_28_Condition_0_Type Flag_Short
Message_28_Condition_0_ID 3002
Message_28_Condition_0_Value 2
Message_28_Condition_0_Logic Equal
Message_28_Condition_0_Allow_Unset
//Text Responses >=9
Message_28_Condition_1_Type Flag_Short
Message_28_Condition_1_ID 3004
Message_28_Condition_1_Value 9
Message_28_Condition_1_Logic Greater_Than_Or_Equal_To
Message_28_Condition_1_Allow_Unset
//Friendly Faction
Message_28_Condition_2_Type Flag_Short
Message_28_Condition_2_ID 3000
Message_28_Condition_2_Value 1
Message_28_Condition_2_Logic Equal
Message_28_Condition_2_Allow_Unset
Message_28_Rewards 1
//Randomize Text Responses
Message_28_Reward_0_Type Flag_Short_Random
Message_28_Reward_0_ID 3002
Message_28_Reward_0_Min_Value 0
Message_28_Reward_0_Max_Value 2
Message_28_Reward_0_Modification Assign


Responses 11
//Inquiry
Response_0_Dialogue 3005
Response_0_Conditions 1
//Neutral Faction
Response_0_Condition_0_Type Flag_Short
Response_0_Condition_0_ID 3000
Response_0_Condition_0_Value 0
Response_0_Condition_0_Logic Equal
Response_0_Condition_0_Allow_Unset

//Right Of Passage Quest Complete
Response_1_Dialogue 3015
Response_1_Quest 3011
Response_1_Conditions 2
//Neutral Faction
Response_1_Condition_0_Type Flag_Short
Response_1_Condition_0_ID 3000
Response_1_Condition_0_Value 0
Response_1_Condition_0_Logic Equal
Response_1_Condition_0_Allow_Unset
//Quest Complete
Response_1_Condition_1_Type Quest
Response_1_Condition_1_Logic Equal
Response_1_Condition_1_ID 3011
Response_1_Condition_1_Status Ready
Response_1_Condition_1_Reset

Response_2_Messages 3
Response_2_Message_0 0
Response_2_Message_1 1
Response_2_Message_2 2

Response_3_Messages 3
Response_3_Message_0 3
Response_3_Message_1 4
Response_3_Message_2 5

Response_4_Messages 5
Response_4_Message_0 6
Response_4_Message_1 7
Response_4_Message_2 8
Response_4_Message_3 9
Response_4_Message_4 10

Response_5_Messages 3
Response_5_Message_0 11
Response_5_Message_1 12
Response_5_Message_2 13

Response_6_Messages 3
Response_6_Message_0 14
Response_6_Message_1 15
Response_6_Message_2 16

Response_7_Messages 3
Response_7_Message_0 17
Response_7_Message_1 18
Response_7_Message_2 19

Response_8_Messages 3
Response_8_Message_0 20
Response_8_Message_1 21
Response_8_Message_2 22

Response_9_Messages 3
Response_9_Message_0 23
Response_9_Message_1 24
Response_9_Message_2 25

Response_10_Messages 3
Response_10_Message_0 26
Response_10_Message_1 27
Response_10_Message_2 28
